jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc,,,,,,
Delaware (DE),Corporation,CORPORATION INCOME TAX RETURN,1100,https://revenue.delaware.gov/services/current_bt/TY17_1100e.pdf,https://revenue.delaware.gov/services/current_bt/TY16_1100i.pdf,,,yes,,43191,1st day of the fourth month following the close of the taxable year,43191,"6 months, If an automatic Federal extension has been granted",,,,,,
Georgia (GA),Corporation,Corporation Tax Return,600,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/600_2017_Corporation_Tax_Return.pdf,,,,yes,,,,,,,,,,,
Hawaii (HI),Corporation,Corporation Income Tax Return,N-30,http://files.hawaii.gov/tax/forms/2017/n30_f.pdf,http://files.hawaii.gov/tax/forms/2017/n30ins.pdf,,,,,,,,,,,,,,
Idaho (ID),Corporation,CORPORATION INCOME TAX RETURN,41,https://tax.idaho.gov/forms/EFO00025_06-05-2017.pdf,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,yes,,,,,,,,,,,
Illinois (IL),Corporation,Corporation Income and Replacement Tax Return,IL-1120,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Corporate/IL-1120.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Corporate/IL-1120-Instr.pdf,,,yes,,43174,15th day of the 3rd month following fiscal year end,,AUTOMATIC,,,,,,
Indiana (IN),Corporation,Corporate Adjusted Gross Income Tax Return,IT-20,"note: Indiana forms may only be downloaded - no direct URL to each form is available           
http://www.in.gov/dor/5696.htm","note: Indiana forms may only be downloaded - no direct URL to each form is available           
http://www.in.gov/dor/5696.htm",,,,,43205,15th day of the 4th month following close of the taxable year,,,,,,,,
Iowa (IA),Corporation,Corporation Income Tax Return,IA 1120,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120%2842001%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120Inst%2842002%29.pdf,,,,,,,,,,,,,,
Kansas (KS),Corporation,CORPORATION INCOME TAX,K-120,https://www.ksrevenue.org/pdf/k-12017.pdf,https://www.ksrevenue.org/pdf/corpbook2017.pdf,,,,,,,,,,,,,,
Kentucky (KY),Corporation,KENTUCKY CORPORATION INCOME TAX AND LLET RETURN,720,https://revenue.ky.gov/Software-Developer/Corporation%20Income%20Tax%20Forms/16_41A720%20(0001).pdf,https://revenue.ky.gov/Forms/2016_41A720(I).pdf,,,,,,,,,,,,,,
Louisiana (LA),Corporation,Corporation Income Tax Return,CIFT-620,http://revenue.louisiana.gov/TaxForms/CIFT620WEB(1_16)F.pdf,http://revenue.louisiana.gov/TaxForms/CIFT620i(1_17).pdf,,,Y,,43235, 15th day of the fifth month following the close of the taxable year,43419,6 months,,,,,,
Maine (ME),Corporation,CORPORATE INCOME TAX RETURN,1120ME,http://www.maine.gov/revenue/forms/corporate/2017/17_1120ME.pdf,http://www.maine.gov/revenue/forms/corporate/2017/17_1120ME_all_instructions.pdf,,,,,,,,,,,,,,
Maryland (MD),Corporation,Corporation Income Tax Return (Short Form),500,http://forms.marylandtaxes.gov/17_forms/Corporate_Booklet.pdf,http://forms.marylandtaxes.gov/17_forms/500.pdf,,,Yes,,,,,,,,,,,
Massachusetts (MA),Corporation,Business/Manufacturing Corporation Excise Return,355,https://www.mass.gov/files/documents/2017/11/07/dor-2017-corp-355-form-355.pdf,,,,Yes,,,,,,,,,,,
Michigan (MI),Corporation,2017 MICHIGAN CORPORATE INCOME TAX ANNUAL RETURN,CIT,http://www.michigan.gov/documents/taxes/4891_ty2017_610222_7.pdf,http://www.michigan.gov/documents/taxes/4891_ty2017_610222_7.pdf,,,,,,,,,,,,,,
Mississippi (MS),Corporation,CORPORATE INCOME AND FRANCHISE TAX RETURN,83-105,http://www.dor.ms.gov/Forms/83105168.pdf,https://www.dor.ms.gov/Forms/CIT%202016%20%20CIT%20INSTRUCTIONS.pdf,,,,,,,,,,,,,,
Missouri (MO),Corporation,Corporation Income Tax Return,MO-1120,http://dor.mo.gov/forms/MO-1120_2017.pdf,http://dor.mo.gov/forms/MO-1120%20Instructions_2017.pdf,,,,,,,,,,,,,,
Montana (MT),Corporation,Corporate Income Tax Return,CIT,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=688,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=690,,,,,,,,,,,,,,
Nebraska (NE),Corporation,NEBRASKA CORPORATION INCOME TAX RETURN,1120N,http://www.revenue.nebraska.gov/tax/17forms/f_1120sn_booklet.pdf,http://www.revenue.nebraska.gov/tax/17forms/f_1120sn_booklet.pdf,,,,,,,,7 months,,,,,,
Nevada (NV),Corporation,COMMERCE TAX RETURN,NCTR  Form TXR-030.01,https://tax.nv.gov/uploadedFiles/taxnvgov/Content/Commerce/COM_Tax_Return.PDF,https://tax.nv.gov/uploadedFiles/taxnvgov/Content/Commerce/Commerce_Tax_Instructions.pdf,,,,,,,,,,,,,,
New Hampshire (NH),Corporation,BUSINESS PROFITS TAX RETURN,NH-1120,https://www.revenue.nh.gov/forms/2018/documents/nh-1120-2017.pdf,https://www.revenue.nh.gov/forms/2017/documents/nh-1120-instructions-2016.pdf,,,,,,,,,,,,,,
New Jersey (NJ),Corporation,Corporation Business Tax Return,CBT-100,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100ins.pdf,,,Y,Y,43207,43388,,"6 month ext (Where a tentative return, Form CBT-200-T, and tax payment are timely and properly filed, it is the policy of the Division of Taxation to grant an extension of no more than six (6) months for filing the CBT-100)",,,,,,
New Mexico (NM),Corporation,NEW MEXICO CORPORATE INCOME AND FRANCHISE TAX RETURN,CIT-1,https://www.taxformfinder.org/newmexico/form-cit-1,http://realfile.tax.newmexico.gov/2017cit-ins.pdf,,,Yes,,43207,The due dates of the CIT-1 return for the taxable year conform to the due dates instituted at the federal level,43205,"If a copy of the automatic or approved federal extension form accompanies the CIT-1 when you file, the Department accepts the extended time the IRS granted
and you do not need to file a New Mexico extension",,,,,,
New York (NY),Corporation,General Business Corporation MTA Surcharge Return (The form number was previously CT-3M/4M),CT-3-M,https://www.tax.ny.gov/pdf/current_forms/ct/ct3m.pdf,https://www.tax.ny.gov/pdf/current_forms/ct/ct3mi.pdf,,,Y,,43205,3½ months after the end of your reporting period,43388,6 month ext,,,,,,
North Carolina (NC),Corporation,C-Corporation Tax Return,CD-405,https://files.nc.gov/ncdor/documents/forms/cd405_8.pdf?gfPLu1JOz93z3WqTSHpWJr2SS1NlYlP9,http://ftp.zillionforms.com/Draft/2016/I512213392.PDF,,,Y,,43207,,43023,,,,,,,
North Dakota (ND),Corporation,Corporation  Income Tax Return,40,https://www.nd.gov/tax/data/upfiles/media/form-40.pdf?20180111102852,https://www.nd.gov/tax/data/upfiles/media/corporate-income-tax-booklet.pdf?20180111101423,,,,,43207,,42993,,,,,,,
Ohio (OH),Corporation,Pass-Through Entity,IT-4708,https://www.tax.ohio.gov/Portals/0/forms/pass-through_entities/2017/PTE_IT4708.pdf,,,,,,,,,,,,,,,
Oklahoma (OK),Corporation,Composite Income Tax Return,512,https://www.ok.gov/tax/documents/512Pkt-17.pdf,https://www.ok.gov/tax/documents/512Pkt-17.pdf,,,,,,,,,,,,,,
Oregon (OR),Corporation,Corporation Excise Tax Return,OR-20,http://www.oregon.gov/DOR/forms/FormsPubs/form-or-20_102-020_2017.pdf,http://www.oregon.gov/DOR/forms/FormsPubs/form-OR-20-instructions_102-016_2017.pdf,,,,,,,,,,,,,,
Pennsylvania (PA),Corporation,Corporate Tax Report,RCT-101,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/CorporationTax/Documents/rct-101_fillin.pdf,http://www.revenue.pa.gov/FormsandPublications/otherforms/Documents/2017_rev-993.pdf,,,Y,,43235,30 days after the federal due date for both calendar and fiscal year end.  Domestic Int'l Sales Companies (DISC) must file on or before 15th day of the 10th month following the close of the fiscal year.,43419,,,,,,,
Rhode Island (RI),Corporation,Business Corporation Tax Return,RI-1120C,http://www.tax.ri.gov/forms/2016/Corp/2016%20RI-1120C_2D_b.pdf,http://www.tax.ri.gov/forms/2017/DRAFTS/Corp/RI-1065_FFXTEST.pdf,,,,http://www.tax.ri.gov/forms/2016/Corp/2016%20RI-1065%20Instructions_122016.pdf,,,,,,,,,,
South Carolina (SC),Corporation,C' CORPORATION INCOME TAX RETURN,SC1120,https://dor.sc.gov/forms-site/Forms/SC1120.pdf,https://dor.sc.gov/forms-site/Forms/SC1120I.pdf,,,Yes,,43205,15 day of the fourth month after the end of the tax year,43205,"If the taxpayer is not required to make a payment for tax or license fee at the time of the extension, and the taxpayer has been granted an extension of time to file a federal income tax return, it is not necessary to file a separate state extension form SC-1120-T
Attach a copy of the properly filed federal extension to the final
South Carolina return when filed. ",,,,,,
South Dakota (SD),Corporation,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Tennessee (TN),Corporation,Franchise and Excise Tax Return,FAE 170,https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/fae170_2018.pdf,https://www.tn.gov/content/dam/tn/revenue/documents/forms/fae/fae170instr_2018.pdf,,,Yes,,43205,15th day of the 4th month following the close of your books and records ,43205,"6 months - If you are not required to make a payment because you have already made sufficient payments on or before the original due date, filing extension form (FAE 173) is not required",,,,,,
Texas (TX),Corporation,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Utah (UT),Corporation,Franchise and Income Tax Return,TC-20,https://tax.utah.gov/forms/current/tc-20.pdf,https://tax.utah.gov/forms/current/tc-20inst.pdf,,,Yes,,43205,15th day of the fourth month following the close of the taxable year ,43205,"6 month - Corporations are automatically allowed an extension of up to six months to fi le a return without fi ling an extension form.
Corporations must make estimated prepayments using form
TC-559",,,,,,
Vermont (VT),Corporation,CORPORATE TAX RETURN,CA-411,http://tax.vermont.gov/sites/tax/files/documents/CO-411.pdf,,,,,,,,,,,,,,,
Virginia (VA),Corporation,"Corporation_x000D_
 Income Tax Return",500,https://www.tax.virginia.gov/sites/default/files/taxforms/corporation-and-pass-through-entity-tax/2017/500-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-500-instructions.pdf,,,Y,Y,43205,15th day of the 4th month (15th day of the 6th month for nonprofit corporations),43419,7 month ext (and must pay at least 90% of the tax due by the original due date for filing the return),,,,,,
Washington DC (DC),Corporation,"Corporation_x000D_
Franchise Tax Return",D-20,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-20_Booklet.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-20_Booklet.pdf,,,y,,43207,"6 month - 15th day of the fourth month after the tax year closes 

15th day of the fourth month after the tax year closes",43388,"6 month
 7-month extension of time to file if you are a Combined Reporting filer",,,,,,
West Virginia (WV),Corporation,Corporate Income Tax Return,CNF-120,https://tax.wv.gov/Documents/TaxForms/2017/cnf120.pdf,https://tax.wv.gov/Documents/TaxForms/2017/cnf120.instructions.pdf,,,Yes,Depends,43207,15th day of the fourth month following the end of the period,43388,6 month - An extension of time to file a federal return is automatically accepted by West Virginia as an extension of time to file the West Virginia return. A copy of the federal extension form must be attached to the West Virginia return when filed and the extended due date must be entered on top of the return,,,,,,
Wisconsin (WI),Corporation,Non-Combined Corporation Franchise or Income Tax Return,4,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form4.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form4-Inst.pdf,,,Yes,y,43205,Fiscal year ending June 30 are due the 15th day of the 3rd month after the close of the taxable year (September 15).,43205,7 month - Wisconsin law provides for an automatic 7 month extension to file the return,,,,,,
Wyoming (WY),Corporation,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Alabama (AL),Exempt Organization,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Arizona (AZ),Exempt Organization,Exempt Organization Annual Information Return,99,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_EXEMPTORGS_2017_99_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_EXEMPTORGS_2017_99-i.pdf,,,,,43235,15th day of the 5th month following fiscal year end,43235,Due date of the return,,,,,,
Arizona (AZ),Exempt Organization,Exempt Organization Business Income Tax Return,99T,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_EXEMPTORGS_2017_99T_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_EXEMPTORGS_2017_99T-i.pdf,,,,,43235,15th day of the 5th month following fiscal year end,43235,Due date of the return,,,,,,
Arkansas (AR),Exempt Organization, Application for Income Tax Exempt Status,AR1023CT,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1023CT_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,,,43235,15th day of the 5th month (Exempt organizations),,"If you have received an automatic Federal extension
(Form 7004), the time for filing your Arkansas Corporation
Income Tax Return shall be extended until the due date of
your federal return",,,,,,
California (CA),Exempt Organization,Exempt Organization Business Income Tax Return ,109,https://www.ftb.ca.gov/forms/2017/17_109.pdf,https://www.ftb.ca.gov/forms/2017/17_109bk.pdf,,,Yes,Depends,43235,15th day of the 5th month following the close of the taxable year,null," the exempt organization has an additional six months to file ithout filing a written request for xtension, If Form 199 cannot be filed by the 15th day of the 5th month after the accounting period ends",,,,,,
California (CA),Exempt Organization,Exempt Organization - Annual Information Return ,199,https://www.ftb.ca.gov/forms/2017/17_199.pdf,https://www.ftb.ca.gov/forms/2016/16_199ins.pdf,,,Yes,Depends,43235,15th day of the 5th month after the accounting period ends,null," the exempt organization has an additional six months to file ithout filing a written request for xtension, If Form 199 cannot be filed by the 15th day of the 5th month after the accounting period ends",,,,,,
Colorado (CO),Exempt Organization,,,,,,,,,,,,,,,,,,
Delaware (DE),Exempt Organization,Information Return / Holding Company / Investment Company,1902(B),https://revenue.delaware.gov/services/current_bt/1902b.pdf,https://revenue.delaware.gov/services/current_bt/1902b.pdf,,,,,46858,15 day of the fourth month ,43205,6 months  with the FED ext,,,,,,
Georgia (GA),Exempt Organization,Exempt Organization Unrelated Business Income Tax Return ,600-T,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/600T_2016_TSD_Exempt_Organization_Unrelated_Business_Income_Tax_Return.pdf,,,,,,,,,,,,,,,
Hawaii (HI),Exempt Organization,Exempt Organization Business Income Tax Return ,N-70NP,http://files.hawaii.gov/tax/forms/2016/n70np_f.pdf,http://files.hawaii.gov/tax/forms/2016/n70npins.pdf,,,,,,,,,,,,,,
Idaho (ID),Exempt Organization,,,,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,,,,,,,,,,,,
Illinois (IL),Exempt Organization,Exempt Organization Income and Replacement Tax Return,IL-990-T,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/TaxExempt/IL-990-T.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/TaxExempt/IL-990-T-Instr.pdf,,,,,43235,15th day of the 5th month (4th month of employee trusts) following fiscal year end,,AUTOMATIC,,,,,,
Indiana (IN),Exempt Organization,Nonprofit Organization Unrelated Business Income Tax Return,IT-20NP,https://www.in.gov/dor/5696.htm,https://www.in.gov/dor/5696.htm,,,,,43235,15th day of the 5th month following close of the taxable year,,,,,,,,
Indiana (IN),Exempt Organization,Nonprofit Organization's Annual Report,NP-20,http://www.in.gov/dor/3506.htm,,,,,,43235,15th day of the 5th month following close of the taxable year,,,,,,,,
Iowa (IA),Exempt Organization,,IA1120,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120%2842001%29.pdf,https://tax.iowa.gov/sites/files/idr/forms1/IA%201120%20Inst%20%2842002%29.pdf,,,,,,,,,,,,,,
Kansas (KS),Exempt Organization,,,,,,,,,,,,,,,,,,
Kentucky (KY),Exempt Organization,,NO DESIGNATED FORM,,,,,,,,,,,,,,,,
Louisiana (LA),Exempt Organization,,null,null,null,,,null,null,null,null,null,null,,,,,,
Maine (ME),Exempt Organization,,1120ME,http://www.maine.gov/revenue/forms/corporate/2017/17_1120ME.pdf,,,,,,,,,,,,,,,
Maryland (MD),Exempt Organization,,,,,,,,,,,,,,,,,,
Massachusetts (MA),Exempt Organization,,M-990T,,,,,,,,,,,,,,,,
Michigan (MI),Exempt Organization,,,,,,,,,,,,,,,,,,
Mississippi (MS),Exempt Organization,Corporate Income and Franchise Tax Return,83-105,http://www.dor.ms.gov/Forms/83105168.pdf,https://www.dor.ms.gov/Forms/CIT%202016%20%20CIT%20INSTRUCTIONS.pdf,,,,,,,,,,,,,,
Missouri (MO),Exempt Organization,,,,,,,,,,,,,,,,,,
Montana (MT),Exempt Organization,,,,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=786,,,,,,,,,,,,,,
Nebraska (NE),Exempt Organization,,,,,,,,,,,,,,,,,,
Nevada (NV),Exempt Organization,,,,,,,,,,,,,,,,,,
New Hampshire (NH),Exempt Organization,,,,,,,,,,,,,,,,,,
New Jersey (NJ),Exempt Organization,Application for ST-5 Exempt Organization Certificate - for Nonprofit exemption from Sales Tax,REG-1E,http://www.state.nj.us/treasury/taxation/pdf/other_forms/sales/reg1e.pdf,http://www.state.nj.us/treasury/taxation/pdf/other_forms/sales/reg1e.pdf,,,,,,,,,,,,,,
New Mexico (NM),Exempt Organization,,,,,,,,,,,,,,,,,,
New York (NY),Exempt Organization,,,,,,,,,,,,,,,,,,
North Carolina (NC),Exempt Organization,,null,https://www.northwestregisteredagent.com/north-carolina-tax-exemption.html,,,,null,null,null,null,null,null,,,,,,
North Dakota (ND),Exempt Organization,,,,,,,,,,,,,,,,,,
Ohio (OH),Exempt Organization,,,,,,,,,,,,,,,,,,
Oklahoma (OK),Exempt Organization,"Return of Organization_x000D_
Exempt from Income Tax",512E,https://www.ok.gov/tax/documents/512-E-16.pdf,,,,,,,,,,,,,,,
Oregon (OR),Exempt Organization,,,,,,,,,,,,,,,,,,
Pennsylvania (PA),Exempt Organization,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Rhode Island (RI),Exempt Organization,,,,,,,,,,,,,,,,,,
South Carolina (SC),Exempt Organization,EXEMPT ORGANIZATION BUSINESS TAX RETURN,SC990T,https://dor.sc.gov/forms-site/Forms/SC990T.pdf,,,,,,,,,,,,,,,
South Dakota (SD),Exempt Organization,,,,,,,,,,,,,,,,,,
Tennessee (TN),Exempt Organization,,,,,,,,,,,,,,,,,,
Texas (TX),Exempt Organization,,,,,,,,,,,,,,,,,,
Utah (UT),Exempt Organization,,,,,,,,,,,,,,,,,,
Vermont (VT),Exempt Organization,,,,,,,,,,,,,,,,,,
Virginia (VA),Exempt Organization,null,null,null,null,,,null,null,null,null,null,null,,,,,,
Washington DC (DC),Exempt Organization,,,,,,,,,,,,,,,,,,
West Virginia (WV),Exempt Organization,,,,,,,,,,,,,,,,,,
Wisconsin (WI),Exempt Organization,Wisconsin Non-Combined Corporation Franchise or Income Tax Return,4T,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form4.pdf,https://www.revenue.wi.gov/DORForms/2014Form4T-inst.pdf,,,,,,,,,,,,,,
Wyoming (WY),Exempt Organization,null,null,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Arizona (AZ),Fiduciaries,Fiduciary Income Tax Return,141AZ,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/FIDU-F/FORMS_FIDUCIARY_2017_141AZ-f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/FIDU-I/FORMS_FIDUCIARY_2017_141AZ-i.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43205,Due date of the return,,,,,,
Arkansas (AR),Fiduciaries,FIDUCIARY INCOME TAX RETURN,AR1002F,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1002FFidITRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/FidTaxInst.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43205,"15th day of the 4th month following the fiscal year end (if you file a FED Feduciary ext, then the AR ext is automatic)",,,,,,
Arkansas (AR),Fiduciaries,Fiduciary Income Tax Return - Nonresident,AR1002NR,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1002NRNonResidentFidITRet.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/FidTaxInst.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43205,"15th day of the 4th month following the fiscal year end (if you file a FED Feduciary ext, then the AR ext is automatic)",,,,,,
California (CA),Fiduciaries,California Fiduciary Income Tax Return ,541,https://www.ftb.ca.gov/forms/2017/17_541.pdf#,https://www.ftb.ca.gov/forms/2017/17_541bk.pdf,,,Yes,Depends, ,California e-file Return Authorization for Fiduciaries , California e-file Signature Authorization for Fiduciaries , ,"If Form 541 cannot be filed by the filing due date, the estate or trust has an additional six months to file without filing a written request for extension",Automatic,,,,
California (CA),Fiduciaries,Charitable Remainder and Pooled Income Trusts ,541-B,https://www.ftb.ca.gov/forms/2017/17_541b.pdf#,https://www.ftb.ca.gov/forms/2017/17_541bins.pdf,,,Yes,Depends, ,California e-file Return Authorization for Fiduciaries , California e-file Signature Authorization for Fiduciaries , ,15th day of the 10th month following the close of the taxable year (fiscal year),Automatic,,,,
